word,meaning,order,numbering
46,어떤 것에 대해 논의하거나 기량을 겨루기 위해 많은 사람이 참가하는 모임.,1,46_1
47,"어떤 사실이나 결과, 작품 따위를 정식으로 세상에 널리 드러내어 알림.",1,47_1
48,어떤 대상에 대해 사람의 마음에 새겨지는 느낌.,1,48_1
49,원인에 의해 야기된 일. ,1,49_1
49,"(용언의 관형형 뒤에 써서) 때문에, 덕분에.",2,49_2
50,있음. ,1,50_1
50,있는 것.,2,50_2
51,맨 처음. ,1,51_1
51,맨 처음에. 애초에. 처음에.,2,51_2
52,장치나 설비를 갖춤. 또는 그 장비와 설비.,1,52_1
53,"돈, 물건, 힘, 시간 등을 써 버림.",1,53_1
54,"의견, 방법 등을 선택하여 씀. ",1,54_1
54,고용.,2,54_2
55,"여러 부분으로 이루어진 대상의 총체, 전부.",1,55_1
56,공중을 날아감.,1,56_1
57,나라와 나라 사이의 관계.,1,57_1
58,영리를 얻기 위하여 재화나 용역을 생산하고 판매하는 조직체. 회사.,1,58_1
59,어떤 분야에 상당한 지식과 경험을 가지고 오직 그 분야만 연구하거나 맡음. 또는 그 분야. ,1,59_1
59,어떤 범위에 한정됨을 나타냄. ,2,59_2
59,특별히.,3,59_3
60,사물의 한가운데. ,1,60_1
60,공동체에서 중심적 역할을 하는 부분이나 지역. 특히 국가의 수도.,2,60_2
61,특별하지 않고 흔히 볼 수 있음. ,1,61_1
61,일반적으로. 흔히.,2,61_2
62,"인간의 생활에 필요한 재화나 용역을 생산, 분배, 소비하는 활동. ",1,62_1
62,"돈, 시간, 노력 등이 적게 듦.",2,62_2
63,현시대,1,63_1
64,일이 있었던 바로 그때.,1,64_1
65,현실의 상황. ,1,65_1
65,구체적인. ,2,65_2
65,정말로. ,3,65_3
65,"실제적인, 현실적인.",4,65_4
66,"학교나 학원에서 학문, 기예 등을 배우는 사람.",1,66_1
67,"예금을 맡아 그 돈으로 대출, 어음 거래 등을 하는 금융 기관. ",1,67_1
67,써야 할 때 쓸 수 있도록 필요한 것을 모아서 보관해 두는 조직.,2,67_2
68,일시적으로 다른 지역에 가는 일.,1,68_1
69,"어떤 것을 기준으로 하여 수량, 크기, 지위 등이 그것과 같거나 그것보다 작거나 낮은 것. ",1,69_1
69,글에서 어떤 지점 아래의 부분.,2,69_2
70,알기 쉽게 밝혀 말함. ,1,70_1
70,증명하다. 보여 주다.,2,70_2
71,"눈, 코, 귀, 혀, 살갗 등을 통하여 외부의 자극을 느끼거나 알아차린 것. ",1,71_1
71,어떤 것을 느끼는 마음의 작용이나 능력. ,2,71_2
71,"느끼다, ~라는 느낌이 들다, ~은 것 같다.",3,71_3
72,어떤 일을 하거나 겪음. 또는 거기서 얻은 지식이나 기능.,1,72_1
73,활발하게 활동함. 눈부시게 활동함. ,1,73_1
73,활발하다. 활기차다. 또는 그렇게 만들다.,2,73_2
74,전체의 의사나 성질을 어느 하나로 잘 나타냄. 또는 그런 역할을 하는 것. ,1,74_1
74,상징하다.,2,74_2
75,"소식, 정보 등을 전달함.",1,75_1
76,어떤 것을 소유한 사람. 소유자. ,1,76_1
76,손님을 맞아 상대하는 사람. ,2,76_2
76,남편.,3,76_3
77,마음이 편안하여 불안이나 걱정이 없는 것.,1,77_1
78,어떤 범위의 밖. 그것을 제외한 나머지 것.,1,78_1
79,"생각, 느낌 등을 말, 그림, 몸짓 등으로 나타냄. ",1,79_1
79,일부러 자신을 드러냄. (과장하는 뉘앙스가 있음.),2,79_2
80,깨어 있어서 일어나는 일을 인식할 수 있는 힘. ,1,80_1
80,"사회적, 역사적으로 일어나는 일을 인식할 수 있는 힘. ",2,80_2
80,생각이 미치어 신경을 쓰다,3,80_3
81,예사롭지 않은 긴급한 상태. ,1,81_1
81,예사롭지 않다. 평범하지 않다. ,2,81_2
81,(‘비상히’의 꼴로) 예사롭지 않게. 매우.,3,81_3
82,몸을 움직여 행동함. ,1,82_1
82,어떤 목적을 위해 하는 일련의 행동. ,2,82_2
82,활발히 움직이거나 작용하는 것. ,3,82_3
82,고정되어 있지 않다. 덜거덕거리다. ,4,82_4
82,유동적이다. 융통성이 있다.,5,82_5
83,건강을 위해 몸을 움직여 단련하는 것. ,1,83_1
83,어떤 목적을 위해 조직적으로 일하는 것. ,2,83_2
83,물체의 위치가 바뀌는 것.,3,83_3
84,사회에서 일어난 일을 빨리 보도・해설・비평 등을 하여 널리 알리기 위한 정기 간행물. ,1,84_1
84,뉴스. 소식.,2,84_2
85,"어떤 행위를 하거나 어떤 결론에 이르게 된 까닭, 근거.",1,85_1
86,어떤 목적을 위해 남을 가르쳐서 이끎.,1,86_1
87,바라던 일이 실제로 이루어짐.,1,87_1
88,"부부, 자식 등 한 집에서 함께 생활하는 사람들의 공동체. 또는 그 생활 공간.",1,88_1
89,"사물의 성질, 모양, 상태 따위가 바뀌어 달라짐.",1,89_1
90,물체가 있는 자리. ,1,90_1
90,사람이 사회나 조직 내에서 차지하고 있는 지위.,2,90_2
91,성질이 같은 것들을 한데 묶고 성질이 다른 것들은 나누어서 분류한 하나하나의 갈래.,1,91_1
92,있어야 할 것이 빠짐없이 다 있는 것. ,1,92_1
92,모자라거나 빠진 것 없이.,2,92_2
93,"연구, 조사, 판단, 제작 등의 바탕이 되는 것.",1,93_1
94,같은 때. ,1,94_1
94,앞의 사실과 뒤의 사실 둘 다 맞음을 나타내기 위해 두 말 사이에 쓰는 말.,2,94_2
95,사회나 집단에 대해서 그것을 구성하는 한 사람 한 사람. ,1,95_1
95,"저, 개인적으로는. (공식적인 자리에서 의견을 발표할 때 씀.)",2,95_2
96,공동체 안에서 대표를 뽑거나 그 밖의 방법으로 구성원의 의사를 모아 공동체를 운영하는 일.,1,96_1
97,완전히 다 이룸.,1,97_1
98,"건물, 기계, 설비 등을 만들기 위해 그 계획을 도면 등에 명시하는 것. 또는 그 도면. ",1,98_1
98,계획을 세움. 또는 그 계획.,2,98_2
99,"말, 몸짓 등으로 생각, 느낌 등을 겉으로 드러내 보임. ",1,99_1
99,"기호, 그림 등으로 어떤 의미를 나타내는 것. 또는 그 수단.",2,99_2
100,아름다움을 추구하여 무엇을 만들어내는 인간의 활동. ,1,100_1
100,기술. ,2,100_2
100,예술적이다. 아름답다.,3,100_3
101,"출판물, 화폐, 증권, 증명서 등을 만들어 세상에서 통용될 수 있게 함.",1,101_1
102,어떻게 할지를 분명하게 정함. 또는 그렇게 정해진 내용. ,1,102_1
102,어떤 것이 다른 것이 어떻게 될지에 크게 영향을 주는 것.,2,102_2
103,귀중하고 요긴함.,1,103_1
104,어떤 것의 가치나 수준을 매김. 또는 그렇게 매겨진 가치나 수준.,1,104_1
105,옳고 그름. ,1,105_1
105,옳고 그름을 따지는 말다툼. ,2,105_2
105,꼭. 반드시.,3,105_3
106,"어떤 일을 하는 방법, 형식.",1,106_1
107,이름이 널리 알려져 있음.,1,107_1
108,팔기 위해 만든 물건.,1,108_1
109,일의 앞뒤 사정이나 이치를 고려할 때 마땅히 그러함. ,1,109_1
109,(‘당연히’의 꼴로) 일의 앞뒤 사정이나 이치를 고려할 때 마땅히.,2,109_2
110,달성하고자 하는 바. 목표.,1,110_1
111,어떤 것을 만드는 데 들어가는 감.,1,111_1
112,어떤 일을 하는 기간이나 계절.,1,112_1
113,마음에 새겨 두고 조심함. ,1,113_1
113,경고나 훈계의 뜻으로 상대를 일깨움.,2,113_2
114,어떤 민족이나 공동체에서 예로부터 전해 내려온 관습 ,1,114_1
114,공동체 내에서 예로부터 전해 내려오는.,2,114_2
115,어떤 기준이 되는 때를 포함하여 그 전. ,1,115_1
115,이제보다 전.,2,115_2
116,일정한 결과를 얻기 위해 일정한 절차에 따라 정리하거나 마무리 짓는 행위를 함.,1,116_1
117,어떤 일을 해 낼 수 있는 힘.,1,117_1
118,어떤 방위를 향한 쪽. ,1,118_1
118,어떤 뜻이나 현상이 일정한 목표를 향하여 나아가는 쪽.,2,118_2
119,탈것을 이용하여 사람이 이동하거나 짐을 실어 나르는 것. ,1,119_1
119,사람이나 나라 사이에 관계를 맺고 왕래하며 교류하는 것. ,2,119_2
119,결탁. 내통.,3,119_3
120,글을 읽는 사람.,1,120_1
121,넉넉하고 많음. 물건이 듬뿍 있는 것. 종류・수량이 많음.,1,121_1
122,규칙적으로 되풀이되는 기후 등의 자연현상에 따라 1년을 구분한 것.,1,122_1
123,"서력에서, 100년을 단위로 하여 세는 시대 구분. ",1,123_1
123,"「세기의 …」의 형태로 백 년 동안에 한 번 밖에 없거나, 또는 그 백 년 동안을 대표할 만큼 중요하거나 뛰어남. ",2,123_2
123,시대.,3,123_3
124,몇 가지 부분이나 요소들을 모아서 일정한 전체를 짜 이룸. 또는 그 짜임새.,1,124_1
125,어떤 결과를 일으킨 것.,1,125_1
126,가게에서 판매하는 음식이나 그 재료.,1,126_1
127,중간에 다른 것을 통하지 않고 바로 연결되는 것.,1,127_1
128,어떤 집단을 구성하는 개체들의 관측값을 모두 더한 뒤 그 합계를 개체들의 수로 나눈 값. ,1,128_1
128,여러 사물의 질이나 양 따위를 통일적으로 고르게 함. ,2,128_2
128,균형이 잡혀 있다. 공평하다. 고르다.,3,128_3
129,아름다움을 추구하여 시각적으로 표현하는 예술.,1,129_1
130,"지식, 기술, 인성 등을 가르치며 길러 줌.",1,130_1
131,어떤 (주로 공공의) 목적을 위해 계획을 세워서 짜임새 있고 지속적으로 하는 일. ,1,131_1
131,영리 목적으로 하는 경제 활동.,2,131_2
132,실제로 있었거나 현재 있는 일. ,1,132_1
132,겉으로 드러나지 않은 일을 솔직하게 말하자면.,2,132_2
133,언어를 시각화한 기호 체계. ,1,133_1
133,글 또는 그러한 글을 통해 배우는 학문.,2,133_2
134,주목할 만한 일.,1,134_1
135,"남에게 돈이나 물건 따위를 달라고, 또는 어떤 일을 해 달라고 요구함.",1,135_1
136,"행위의 상대, 목표, 목적. ",1,136_1
136,연애 상대,2,136_2
137,바뀌지 않고 일정한 상태를 유지함. ,1,137_1
137,약의 한 종류. 안정제. 진정제.,2,137_2
138,위험하지 않음. 사고가 날 염려가 없음.,1,138_1
139,"사물, 사람, 조직 등을 살피고 돌보거나 통제, 감독, 지휘하는 것.",1,139_1
140,과거의 어느 시점부터 그 후로.,1,140_1
141,여럿 가운데서 골라 뽑음.,1,141_1
142,태어남. 출생. ,1,142_1
142,어떤 것이 새로 생김.,2,142_2
143,일정한 목적이나 기준에 따라 나뉘거나 지정된 지역. ,1,143_1
143,한 나라 안에서 특수한 사정에 의해 구별되는 지역.,2,143_2
144,"공동체 구성원들의 행동을 살피고 통제, 관리하는 것. ",1,144_1
144,음악에서 합창이나 합주를 하는 여러 사람의 노래나 연주가 잘 어우러지도록 앞에서 이끄는 것. ,2,144_2
144,지휘자. 지휘하는 사람.,3,144_3
145,여성 ,1,145_1
145,여자 아이.,2,145_2
146,지역. ,1,146_1
146,수도 이외의 지역. ,2,146_2
146,장소. ,3,146_3
146,부분. 점.,4,146_4
147,넓게 펼치거나 펼쳐짐. ,1,147_1
147,어떤 일이 벌어지거나 진전됨. 또는 일을 벌이거나 진전시킴.,2,147_2
148,보람이나 효과가 있음. ,1,148_1
148,효력이 있음.,2,148_2
149,섞여서 하나를 구성하고 있는 각각의 물질. 구성 요소. ,1,149_1
149,"사상적인 성향, 직업, 출신 등에 따라 사람들을 가른 부류.",2,149_2
150,"부분, 요소들이 모여서 전체를 구성하는 짜임새나 구조. ",1,150_1
150,"유형, 무형의 구조물을 만들다, 짓다, 세우다, 건설하다.",2,150_2
151,목적하는 바를 이룸. ,1,151_1
151,"세상 사람들이 부러워할 만한 부, 명예, 높은 지위 등을 얻는 것.",2,151_2
152,"육체, 물질에 대립되는 마음, 영혼. ",1,152_1
152,취지. 이념. ,2,152_2
152,사물을 느끼고 생각하며 판단하는 능력. 의식. ,3,152_3
152,기력. 원기. 정력. ,4,152_4
152,활기차다. 원기왕성하다. ,5,152_5
152,잘생기다. 영준하다. ,6,152_6
152,기운을 내다.,7,152_7
153,실제로 시행함.,1,153_1
154,"연극, 영화, 드라마, 대회, 행사 등의 일체의 계획을 짜고 진행을 지휘하는 것. ",1,154_1
154,어떤 상황이나 분위기를 만들어 냄. ,2,154_2
154,공연.,3,154_3
155,"천체, 기상 등의 자연 현상을 관찰하고 측정함. ",1,155_1
155,사정이나 형편 등을 잘 살펴보아 장래를 추측함.,2,155_2
156,만들어 냄. ,1,156_1
156,아기나 새끼를 낳음. (예스러운 표현),2,156_2
157,"말이나 글에 담긴 뜻, 현상의 원리, 이치 등을 깨달아 앎.",1,157_1
158,책 등을 인쇄하여 공적으로 세상에 내놓음. 디지털 데이터에 의한 것도 포함될 때가 있다.,1,158_1
159,어떤 기준이나 실정에 맞게 고쳐 정돈함.,1,159_1
160,서로 맞바꿈. 주고받음. ,1,160_1
160,교체. 예전 것을 새 것으로 바꿈. ,2,160_2
160,전화 교환원.,3,160_3
161,공간적인 앞과 뒤. ,1,161_1
161,시간적인 앞과 뒤. 시간적으로 잇따름. ,2,161_2
161,"시간, 수량 등이 어떤 기준점에 약간 모자라거나 넘는 것. ",3,161_3
161,순서가 거꾸로 되거나 오락가락함. ,4,161_4
161,처음부터 끝까지. 전 기간 통틀어.,5,161_5
162,어린이와 청년 사이의 나이인 사람. 남자를 지칭하기도 하고 남녀 구분 없이 쓰기도 함.,1,162_1
163,어떤 일을 하는 데 드는 돈.,1,163_1
164,날마다 반복되는 생활.,1,164_1
165,어떤 목적을 위해 계획을 세워 일을 함. 또는 그 일. ,1,165_1
165,숙제. 과제.,2,165_2
166,"한 곳, 한 가지 것에 많은 것이 모임. ",1,166_1
166,한 가지 일에 모든 힘을 쏟는 것.,2,166_2
167,산문체 서사 문학 장르의 하나.,1,167_1
168,어떤 것의 (부분이나 낱개가 아니라) 모두 다.,1,168_1
169,현재 실제로 존재하는 사실이나 상태. ,1,169_1
169,현실적이다.,2,169_2
170,다른 사람이나 개체와 구별되는 고유의 특성.,1,170_1
171,"둘 이상의 사물을 견주어 서로 간의 유사점, 차이점, 일반 법칙 따위를 고찰하는 일. ",1,171_1
171,(‘비교적’의 꼴로) 다른 것과 견주어 보았을 때.,2,171_2
172,마음속에 품은 감정이나 정서 따위의 심리 상태가 겉으로 드러난 모습. ,1,172_1
172,"기분, 감정을 겉으로 드러내다.",2,172_2
173,기업이나 사업 따위를 관리하고 운영함. ,1,173_1
173,목적이나 방침에 따라 조직을 운영함. ,2,173_2
173,"취급하다, 판매하다.",3,173_3
174,여러 가지 상품을 사고파는 일정한 장소. ,1,174_1
174,상품이 유통되는 영역. ,2,174_2
174,받아들여질 수 있는 여지.,3,174_3
175,생계를 유지하기 위하여 자신의 적성과 능력에 따라 일정한 기간 동안 계속하여 종사하는 일. ,1,175_1
175,직업적인. 프로. 전업으로 하는.,2,175_2
176,마음이 편하지 않고 근심스러움. ,1,176_1
176,미안하다.,2,176_2
177,자기 나라가 아닌 다른 나라.,1,177_1
178,온갖 종류. 또는 여러 종류.,1,178_1
179,다가올 앞날. ,1,179_1
179,가져옴.,2,179_2
180,"국가와 국가, 또는 교전(交戰) 단체 사이에 무력을 사용하여 싸움. ",1,180_1
180,극심한 경쟁이나 혼란 또는 어떤 문제에 대한 아주 적극적인 대응을 비유적으로 이르는 말.,2,180_2
181,사람이나 동식물 따위가 자라서 점점 커짐. ,1,181_1
181,사물의 규모나 세력 따위가 점점 커짐.,2,181_2
182,"사람들이 휴식, 산책, 놀이 등을 할 수 있도록 가꾸어 놓은 장소. 대개 나무를 많이 심고 넓은 풀밭을 만들어 놓는 등, 자연을 느낄 수 있게 해 놓음.",1,182_1
183,병이나 상처 따위를 잘 다스려 낫게 함.,1,183_1
184,어떤 일을 해낼 수 있다거나 어떤 일이 꼭 그렇게 되리라는 믿음. ,1,184_1
184,어떤 일을 해낼 수 있다거나 어떤 일이 꼭 그렇게 되리라고 믿음.,2,184_2
185,기대한 만큼의 수량이나 수준에 미쳐서 마음이 흡족함. ,1,185_1
185,기대한 만큼의 수량이나 수준에 미치게 해서 마음을 흡족하게 함.,2,185_2
186,"현상이나 사상, 행동 따위가 어떤 방향으로 기울어짐. ",1,186_1
186,경도되다. 기울다. 끌리다. ~하는 경향이 있다.,2,186_2
187,"문학 작품, 사진, 그림, 조각 따위의 예술품을 창작하는 사람.",1,187_1
188,음전하를 가지고 원자핵의 주위를 도는 소립자. ,1,188_1
188,"전자, 전자공학, 전자공업, 전자 장치 등과 관련된.",2,188_2
189,이미 지나간 때. 또는 그때의 일. ,1,189_1
189,시간이 지나가다. ,2,189_2
189,출발점에서 어떤 지점을 지나 다른 지점으로 가다. 건너가다.,3,189_3
190,아무것도 없는 빈 곳.,1,190_1
191,목숨. ,1,191_1
191,가장 중요한 것. ,2,191_2
191,사물이 유지되는 일정한 기간.,3,191_3
192,사람이나 탈것이 지나 다닐 수 있도록 만들어 놓은 길.,1,192_1
193,어떤 대상에 대하여 가지는 생각. ,1,193_1
193,불만. ,2,193_2
193,"의견을 말함. 특히, 외람되게 자기 생각을 말하거나, 상대방 일에 말참견을 함.",3,193_3
194,이전의 인상이나 경험을 의식 속에 간직하거나 도로 생각해 냄. ,1,194_1
194,과거에 겪은 일에 대한 인상.,2,194_2
195,"기계,장치 등을 일정한 방식에 따라 다루어 움직임. ",1,195_1
195,작업 따위를 잘 처리하여 행함.,2,195_2
196,책을 갖추어 놓고 팔거나 사는 가게. ,1,196_1
196,출판사.,2,196_2
197,수를 헤아림. ,1,197_1
197,어떤 일을 예상하거나 고려함. ,2,197_2
197,값을 치름. ,3,197_3
197,음해하다. 모해하다.,4,197_4
143,태양계에 딸린 행성으로 인류를 비롯한 각종 생물이 존재하는 곳. 자전하면서 일 년에 한 번 태양 주위를 공전함.,1,143_1
199,맡아서 해야 할 임무나 의무. ,1,199_1
199,어떤 일에 관련되어 그 결과에 대하여 지는 의무나 부담. 또는 그 결과로 받는 제재(制裁).,2,199_2
200,이루려고 지향하는 대상. 또는 그것을 지향하는 행위. ,1,200_1
200,"사격, 공격 등의 대상. 목표물.",2,200_2
201,왼쪽과 오른쪽. ,1,201_1
201,"옆, 곁, 주변. 주변에서 모시고 있는 사람. ",2,201_2
201,영향을 주어 지배함. ,3,201_3
201,"의견, 태도를 확실히 하지 않음. ",4,201_4
201,쯤. 정도.,5,201_5
202,"국가를 통치, 운영하는 기관.",1,202_1
203,이것저것을 일정한 비율로 한데 섞어 합침. ,1,203_1
203,"협동, 협력, 공조, 공동 행동. ",2,203_2
203,어울리다. 조화를 이루다. 잘 맞다. 들어맞다.,3,203_3
204,몸을 움직여 동작을 하거나 어떤 일을 함. ,1,204_1
204,움직이다. 거동하다. 나다니다.,2,204_2
205,국가를 구성하는 사람. 또는 그 나라의 국적을 가진 사람.,1,205_1
206,소설・시・희곡・수필・평론 등을 연구하는 학문/ ,1,206_1
206,"문예학, 철학, 역사학, 언어학, 사회학 등의 총칭.",2,206_2
207,크게 느끼어 마음이 움직임. 또는 그렇게 만듦.,1,207_1
208,"채소나 과일, 생선 따위가 싱싱함. ",1,208_1
208,오염되지 않고 상쾌함. ,2,208_2
208,새롭고 산뜻함.,3,208_3
209,땅속. 지면 아래. ,1,209_1
209,저승. ,2,209_2
209,"사회 운동, 정치 운동, 저항 운동 따위를 비합법적으로 숨어서 하는 영역. ",3,209_3
209,땅 위. 땅 표면. (아래쪽의) 땅.,4,209_4
210,(내용과 대비하여) 겉으로 드러난 모습과 패턴. ,1,210_1
210,일정하게 정형화된 절차나 패턴.,2,210_2
211,"어떤 사실이나 사물, 내용 따위를 여러 사람에게 널리 터놓음.",1,211_1
212,뜻밖에 일어난 불행한 일.,1,212_1
213,"긍정적, 능동적, 진취적임.",1,213_1
214,만듦.,1,214_1
215,"사람의 인공적인 조작이 가해지지 않은, 자연 그대로의 상태. ",1,215_1
215,타고난 것. 천부적. 천성(적). ,2,215_2
215,아무렇지도 않은 듯이 시치미를 떼는 모습.,3,215_3
216,움직여서 위치가 바뀜.,1,216_1
217,"움직일 수 있고, 다른 생물을 먹어야 생존할 수 있는 생물. 사람을 포함하는 뜻으로 쓰기도 하고, 사람을 제외한 뜻으로 쓰기도 함.",1,217_1
218,필요한 양이나 기준에 미치지 못해 충분하지 않음. ,1,218_1
218,결함. 부족한 부분.,2,218_2
219,보편적인 진리나 법칙의 발견을 목적으로 한 체계적인 연구 또는 그 결과 얻어진 지식. 좁게는 자연과학. ,1,219_1
219,(‘과학적’의 꼴로) 과학의 원칙에 부합됨. 과학의 성격을 띰.,2,219_2
220,해. 지구 등의 행성들을 거느린 항성. ,1,220_1
220,매우 소중하거나 희망을 주는 존재를 비유적으로 이르는 말.,2,220_2
221,태워서 에너지를 얻을 수 있는 물질.,1,221_1
222,궁리. 좋은 방법을 생각하는 것. 또는 그 방법. ,1,222_1
222,학문이나 기술을 배우고 익힘. ,2,222_2
222,어떤 일을 하는 데 소요되는 노력과 시간. ,3,222_3
222,시간. 틈. 겨를.,4,222_4
223,수를 나타내는 글자나 기호. ,1,223_1
223,숫자로 표시되는 수량. ,2,223_2
223,디지털형(의).,3,223_3
224,원료를 인력이나 기계력으로 가공하여 유용한 물자를 만드는 산업.,1,224_1
225,다른 것을 살펴보고 생각하여 본래의 생각을 발전시키는 데 도움이 되게 함. 또는 그 재료.,1,225_1
226,개인이 가지고 있는 고유의 성질이나 품성. ,1,226_1
226,어떤 사물이나 현상의 본질이나 본성.,2,226_2
227,실제로 행함. ,1,227_1
