word,meaning,order,numbering
43,开拓土地等自然资源，以达到利用的目的。 ,1,43_1
43,发现新物品、产品及技术等。 ,2,43_2
43,使得人类能力更发达。,3,43_3
44,对有一定年纪的人的尊称。 ,1,44_1
44,教育学生的人。 ,2,44_2
44,称自己或别人的丈夫。,3,44_3
45,具有某种性质或达到一定的数量、水平。 ,1,45_1
45,适当的数量、水平。 ,2,45_2
45,（用于数量词之后）上下；左右。,3,45_3
46,人们为讨论某事或进行较量而聚集在一起。,1,46_1
47,正式向社会、向全世界宣布某种事实、结果或登载作品等。,1,47_1
48,某一人或事物给人的内心留下的感觉。,1,48_1
49,由某种原因而发生的事情。 ,1,49_1
49,（用于谓词的定语形之后）因为，由于。,2,49_2
50,有。 ,1,50_1
50,东西，人。,2,50_2
51,最开始。 ,1,51_1
51,最早的时候。,2,51_2
52,配备武器、军装、器材、技术力量等。或指配备的武器、军装、器材、技术力量等。,1,52_1
53,接受有偿服务或为了物质生产所进行的消耗。,1,53_1
54,认为合适而选择某种意见或方法。 ,1,54_1
54,雇用。,2,54_2
55,各个个体的总和。,1,55_1
56,在空中航行。,1,56_1
57,独立主权国之间的。,1,57_1
58,独立从事生产、运输、服务等经济活动，并在经济上独立核算的组织。,1,58_1
59,在某一领域具有相当多的知识与经验并仅对此领域进行研究。 ,1,59_1
59,表示限于某个范围。 ,2,59_2
59,特地。,3,59_3
60,某一处所的中心。 ,1,60_1
60,起核心作用的地区或机构。,2,60_2
61,一般的、常见的。 ,1,61_1
61,一般。,2,61_2
62,生活中所需的生产、分配、消费等活动。 ,1,62_1
62,金钱、时间、努力等付出较少而获益较大的性质。,2,62_2
63,现在这一时代。,1,63_1
64,过去发生某件事情的时候。,1,64_1
65,客观存在的情况。 ,1,65_1
65,具体的。 ,2,65_2
65,真正。 ,3,65_3
65,实有的、现实的。,4,65_4
66,在学校学习知识、技艺等的人。,1,66_1
67,经营存款、贷款、汇兑、储蓄等业务的机构。 ,1,67_1
67,将所需的东西保管起来的组织。,2,67_2
68,暂时到另外一个地方去游览。,1,68_1
69,数量、大小、地位等与某一标准相同或在其之下。 ,1,69_1
69,文章中某一部分下面的内容。,2,69_2
70,解释清楚。 ,1,70_1
70,证明，表明。,2,70_2
71,通过眼睛、鼻子、耳朵、舌头、皮肤等来感受外界的现象。 ,1,71_1
71,感受某种事物的心理过程或能力。 ,2,71_2
71,觉得，认为。,3,71_3
72,从某种经历中总结得来的知识或技能。,1,72_1
73,积极地进行活动。 ,1,73_1
73,活泼而热烈；使……变得活泼而热烈。,2,73_2
74,显示某一类共同特征的人或事物。 ,1,74_1
74,人或事物表示某种意义或象征某种概念。,2,74_2
75,互通消息,1,75_1
76,权利所有人。 ,1,76_1
76,招待客人的人。 ,2,76_2
76,丈夫。,3,76_3
77,心情平静、舒适。,1,77_1
78,一定范围之外。,1,78_1
79,通过语言、图画、动作等表达出思想或感觉。 ,1,79_1
79,故意地显示自己（含夸大的成分）,2,79_2
80,可认识到所发生事情的能力。 ,1,80_1
80,可认识到社会上、历史上所发生事情的能力。 ,2,80_2
80,想到、在意、察觉。,3,80_3
81,紧急状态。 ,1,81_1
81,不普通、不平凡。 ,2,81_2
81,十分；特别,3,81_3
82,肢体处于运动的状态。 ,1,82_1
82,为了达到某种目的而采取的行动。 ,2,82_2
82,活跃地运动或产生某种作用。 ,3,82_3
82,不固定，会产生摇晃。 ,4,82_4
82,灵活，不固定。,5,82_5
83,为了健康而锻炼身体。 ,1,83_1
83,为达到某种目的而进行的有组织的活动。 ,2,83_2
83,物体发生位置上的变化。,3,83_3
84,及时报道社会所发生事件的定期出版物。 ,1,84_1
84,社会上最近发生的事情。,2,84_2
85,做某事或得出某种结论的依据。,1,85_1
86,指示教导。,1,86_1
87,使成为事实。,1,87_1
88,以婚姻和血统关系为基础的社会单位。,1,88_1
89,事物的性质、样子、状态等有所改变。,1,89_1
90,事物所在或所占的地方。 ,1,90_1
90,人在社会或组织中的地位、职位。,2,90_2
91,根据事物本身的特性而分的门类。,1,91_1
92,齐全。 ,1,92_1
92,全部。,2,92_2
93,研究、调查、判断、制作等的基础。,1,93_1
94,同一个时间。 ,1,94_1
94,用于两句话之间，表示并列关系。,2,94_2
95,一个人（跟“集体”相对）。 ,1,95_1
95,自称，我（在正式场合发表意见时用）。,2,95_2
96,在社会团体中选出代表，或用其他方法集结成员的意愿并运营社会团体。,1,96_1
97,结束。,1,97_1
98,建设建筑或制造机械、设备等之前，预先制定图样；预先制定的图样。 ,1,98_1
98,制定计划；计划。,2,98_2
99,用言语行为显示出某种思想、感情、态度等。 ,1,99_1
99,事物本身显示出某种意义或者凭借某种事物显示出某种意义。,2,99_2
100,用形象来反映现实但比现实有典型性的社会意识形态，包括文学、绘画、雕塑、建筑、音乐、戏剧、电影等。 ,1,100_1
100,富有创造性的方式、方法。 ,2,100_2
100,形状或方式独特且具有美感。,3,100_3
101,发出新印制的出版物、货币、债券或证明等并使之通用。,1,101_1
102,对如何行动做出主张。 ,1,102_1
102,某事物成为另一事物的先决条件；起主导作用。,2,102_2
103,具有重大影响的。,1,103_1
104,评论或发表具体看法；评定的价值。,1,104_1
105,事理的正确和错误。 ,1,105_1
105,口舌。 ,2,105_2
105,一定，必定。,3,105_3
106,说话做事所采取的方法。,1,106_1
107,出名；名字为大家所知。,1,107_1
108,用某一种或某一类材料制成的物品。,1,108_1
109,应当这样。 ,1,109_1
109,合于情理或事理，没有疑问。,2,109_2
110,所追求的目标；想达到的境地。,1,110_1
111,可以直接制成成品的东西。,1,111_1
112,发展过程中的一段时间。,1,112_1
113,把心思、想法集中到某一方面。 ,1,113_1
113,警告或教训。,2,113_2
114,世代相传的具有特点的风俗、道德、思想、作风、艺术、制度等社会因素。 ,1,114_1
114,世代相传的，旧有的。,2,114_2
115,在某一时间之前的时期。 ,1,115_1
115,现在之前。,2,115_2
116,为得到某种结果，按照一定的程序进行整理或处置的行为。,1,116_1
117,能胜任某项任务的条件；才能。,1,117_1
118,东西南北等。 ,1,118_1
118,前进的目标；正对着的方位。,2,118_2
119,利用可乘坐手段进行移动或运输货物。 ,1,119_1
119,人与人之间或国家与国家之间建立关系并进行交流。 ,2,119_2
119,结交；勾结。,3,119_3
120,阅读图书、报刊等以文字、图画为主的出版物的人。,1,120_1
121,充裕富厚。,1,121_1
122,一年中按气候、农事等划分的某个有特点的时期。,1,122_1
123,计算年代的单位，一百年为一世纪。 ,1,123_1
123,一百年中仅此一次，或可代表一百年的重要的事件。 ,2,123_2
123,时代,3,123_3
124,组建；建成。,1,124_1
125,造成某种结果或引起另一事情发生的条件。,1,125_1
126,商店出售的食物。,1,126_1
127,跟“间接”相对。不经过中间事物。,1,127_1
128,把总和按个体的数量均匀计算。 ,1,128_1
128,多种事物的质或量的统一。 ,2,128_2
128,均匀，没有轻重多少之别。,3,128_3
129,通常指绘画、雕塑、建筑等造型艺术。,1,129_1
130,教授知识、技术，培养品性等。,1,130_1
131,指具有一定目标、规模而自成系统的、关系社会发展的活动。 ,1,131_1
131,以营利的目的进行的经济活动。,2,131_2
132,事情的实际情况；实有的事情。 ,1,132_1
132,直接、坦率地说。,2,132_2
133,记录语言的书写符号。 ,1,133_1
133,连缀单字而成的诗文。,2,133_2
134,历史上或社会上已经发生的大事情。,1,134_1
135,向他人要求金钱或物品，或要求帮助做某件事。,1,135_1
136,行动或思考时作为目标的事物。 ,1,136_1
136,恋爱的对方。,2,136_2
137,平静稳定。 ,1,137_1
137,药名。有机化合物，黄白色结晶粉末。有镇静、抗惊厥等作用。,2,137_2
138,平安，无危险。,1,138_1
139,料理；治理；管束。,1,139_1
140,从过去某时直到现在（或特指的某一时间）的一段时期。,1,140_1
141,挑选；选取。,1,141_1
142,出生。 ,1,142_1
142,产生。,2,142_2
143,按照一定的目的或标准所划分的区域。 ,1,143_1
143,一国中在特定情况下单独参加某些国际活动的地方行政区域。,2,143_2
144,统治、管理。 ,1,144_1
144,乐队或合唱队前面指示如何演奏或演唱的人。 ,2,144_2
144,发令调遣的人。,3,144_3
145,女性。 ,1,145_1
145,女孩，女儿。,2,145_2
146,本地，当地。 ,1,146_1
146,中央以下各级行政区划的统称。这里“地方”与“中央”相对。与“部队”相对，也称“地方”。 ,2,146_2
146,处所，地点。 ,3,146_3
146,部分；部位。,4,146_4
147,铺开，张开。 ,1,147_1
147,发生某件事并出现进展或使某件事发生并使其进展。,2,147_2
148,有成效；有效果。 ,1,148_1
148,有效力。,2,148_2
149,构成事物的各种不同的物质或因素。 ,1,149_1
149,根据个人的思想、职业、出身等分类。,2,149_2
150,结构。 ,1,150_1
150,建造，用人工使原料成为某种物品。,2,150_2
151,成就功业或事业 ,1,151_1
151,获得令人羡慕的财富、名誉、地位等。,2,151_2
152,与肉体相对，指人的心理、灵魂。 ,1,152_1
152,宗旨、理念。 ,2,152_2
152,对事物的判断能力、意识。 ,3,152_3
152,体力、精力、元气。 ,4,152_4
152,有活力、精力旺盛。 ,5,152_5
152,英俊、长相好。 ,6,152_6
152,表现出活力。,7,152_7
153,实际施行。,1,153_1
154,话剧、电影、电视剧、大会、活动等进行企划、指挥。 ,1,154_1
154,制造某种情况或气氛。 ,2,154_2
154,表演。,3,154_3
155,观察测量。 ,1,155_1
155,仔细观察某事或某种情况并对未来进行推测。,2,155_2
156,创造物质或精神财富。也特指人们使用工具创造生产、生活资料的活动。 ,1,156_1
156,生育。（古时的说法）,2,156_2
157,从道理上了解。,1,157_1
158,把著作物编印成图书报刊、有声读物、电子读物等。,1,158_1
159,重新调配或安排，以适用于新的情况。,1,159_1
160,各自把自己的给对方。 ,1,160_1
160,以旧换新。 ,2,160_2
160,话务员。,3,160_3
161,用于空间，事物的前与后。 ,1,161_1
161,时间的先后。 ,2,161_2
161,时间、数量未达到或超过某一标准。 ,3,161_3
161,顺序颠倒或颠三倒四。 ,4,161_4
161,自前到后的经过、过程。,5,161_5
162,年纪介于童年与青年之间的人。,1,162_1
163,花用的钱；开支。,1,163_1
164,平日；平时。,1,164_1
165,从事生产劳动、军事活动。 ,1,165_1
165,为完成生产、学习、军事训练等任务而布置的活动。,2,165_2
166,把分散的汇聚到一起。 ,1,166_1
166,全力专注于一件事。,2,166_2
167,一种叙事性的文学体裁。作为文学的一大样式，小说通过完整的故事情节和具体环境的描写，塑造多种多样的人物形象，广泛地反映社会生活。,1,167_1
168,各个部分的总和。,1,168_1
169,当前存在着的客观实际。 ,1,169_1
169,符合实际情况；真实。,2,169_2
170,事物的特性，即一事物区别于他事物的特殊的性质。,1,170_1
171,根据一定标准，在两种或两种以上有某种联系的事物间，辨别高下、异同。 ,1,171_1
171,具有一定的程度。,2,171_2
172,表现在面部或姿态上的思想感情。 ,1,172_1
172,从面部或姿态的变化上表达内心的思想感情。,2,172_2
173,经办管理。多用于工商企业等。 ,1,173_1
173,根据目的或方针进行组织、管理。 ,2,173_2
173,出售商品。,3,173_3
174,商品买卖的场所。 ,1,174_1
174,商品行销的区域。 ,2,174_2
174,比喻思想言论影响所及的地方。多含贬义。,3,174_3
175,个人服务社会并作为主要生活来源的工作。 ,1,175_1
175,专业的；非业余的。,2,175_2
176,不安定；不安宁。 ,1,176_1
176,客套话。表示歉意和感激。,2,176_2
177,本国以外的国家。,1,177_1
178,各式各样。,1,178_1
179,未来，指现在之后的时间。相对于“现在”、“过去”而言。 ,1,179_1
179,拿来。,2,179_2
180,民族、国家、阶级、集团之间的武装战争。 ,1,180_1
180,争斗，斗争。,2,180_2
181,向成熟的阶段发展。 ,1,181_1
181,事物的规模或势力等逐渐变大。,2,181_2
182,供人们游览、休息和娱乐的公共园林。一般利用自然风景、名胜古迹改建而成，也有利用城市空地新建的。,1,182_1
183,用药物、手术等消除疾病。,1,183_1
184,对自己的充分的信心。 ,1,184_1
184,相信自己。,2,184_2
185,达到了所期待的数量或水平而感到足够。 ,1,185_1
185,使满足。,2,185_2
186,趋势。思想观点所体现的方向。 ,1,186_1
186,偏于赞成；偏向。,2,186_2
187,从事文学创作有成就的人。,1,187_1
188,构成一切原子的基本微粒之一。带负电，质量极小。 ,1,188_1
188,与电子、电子工学、电子工业、电子装置等相关。,2,188_2
189,现在以前的时期。 ,1,189_1
189,某个时间、某种状态已经消逝。 ,2,189_2
189,离开所在地或经过某地走向另一个地点。,3,189_3
190,物质存在的一种客观形式，由长度、宽度、高度表现出来。与“时间”相对。通常指四方上下。,1,190_1
191,命。 ,1,191_1
191,最重要的。 ,2,191_2
191,事物维持的一段时间。,3,191_3
192,地面上供人和车马通行的路。,1,192_1
193,见解；主张。 ,1,193_1
193,对人对事不满意的想法。 ,2,193_2
193,提意见。特别是冒昧地说出自己的想法，或者干涉别人。,3,193_3
194,记起；记住。 ,1,194_1
194,对过去事物的印象。,2,194_2
195,按照一定的程序和技术要求进行活动。 ,1,195_1
195,按照自己所希望的方向，人为地介入或篡改。,2,195_2
196,出售书籍的商店。 ,1,196_1
196,出版社,2,196_2
197,核算数目。 ,1,197_1
197,预测或考虑某事。 ,2,197_2
197,付钱。 ,3,197_3
197,算计。暗中打损害别人的坏主意。,4,197_4
143,太阳系的第三颗行星，有人类和动植物存在。,1,143_1
199,分内应做的事。 ,1,199_1
199,做不好分内应做的事，因而应当承担的过失。,2,199_2
200,想要达到的境地或目的。 ,1,200_1
200,射击、攻击或寻求的对象。,2,200_2
201,左面和右面。 ,1,201_1
201,附近；两旁；身边跟随的人。 ,2,201_2
201,支配；控制。 ,3,201_3
201,意见、态度等不明确。 ,4,201_4
201,用在数量词后表示概数。,5,201_5
202,国家权力的执行机关，即国家行政机关。我国现有中央人民政府（国务院）和地方各级人民政府。,1,202_1
203,按一定比例混合在一起。 ,1,203_1
203,各方分工合作以完成同一工作任务。 ,2,203_2
203,合在一起显得合适、相称。,3,203_3
204,为达到某种目的而进行的活动。 ,1,204_1
204,走动；行走。,2,204_2
205,近代以来称具有某国国籍的人为该国国民。,1,205_1
206,以语言塑造形象来反映现实的艺术，包括诗歌、小说、戏剧、散文等。 ,1,206_1
206,文献学、哲学、历史学、语言学、社会学等的总称。,2,206_2
207,触动感情，引起同情、支持。,1,207_1
208,（刚生产、宰杀或烹调的食物等）没有变质，也没有经过腌制、干制等。 ,1,208_1
208,空气经常流通，且不含杂类气体。 ,2,208_2
208,事物出现不久；新奇，稀罕。,3,208_3
209,地面以下；地层内部。 ,1,209_1
209,阴间。 ,2,209_2
209,政党、团体等处于非法、秘密活动状态。 ,3,209_3
209,地面上。,4,209_4
210,对内容而言，指事物的组织结构和表现方式。 ,1,210_1
210,具有一定标准化的程序或模式。,2,210_2
211,面向大家，不加隐蔽。,1,211_1
212,变故。,1,212_1
213,进取、主动或热心。肯定的；或正面的。与“消极”相对。,1,213_1
214,制造。,1,214_1
215,自然生成的，自然形成的（区别于人工、人造）。也指事物不加修饰的本色。 ,1,215_1
215,自然赋予的，生来具备的。也指天性、本性。 ,2,215_2
215,无所谓，若无其事的样子。,3,215_3
216,改换原来的位置。,1,216_1
217,生物的一大类。能运动，有感觉，需吞食别的生物才能生存的生物。,1,217_1
218,不充足，不够。 ,1,218_1
218,缺陷，不完善的地方。,2,218_2
219,反应自然、社会、思维等的客观规律的分科知识体系。又特指自然科学。 ,1,219_1
219,合乎科学的；合理的。,2,219_2
220,银河系中一颗普通恒星，是一个炽热的气体球。也指太阳光。 ,1,220_1
220,比喻极其宝贵、给予希望的存在。,2,220_2
221,能产生热能和光能的可燃性物质。,1,221_1
222,主意或方法。 ,1,222_1
222,学习知识或技术。 ,2,222_2
222,作事所费的精力和时间。 ,3,222_3
222,时间。,4,222_4
223,表示数目的文字和记号。 ,1,223_1
223,数量；数目。 ,2,223_2
223,电子型的。,3,223_3
224,通过人力或机械对各种原材料进行加工的生产事业。,1,224_1
225,参照他事他说，加以考察。,1,225_1
226,性情品格。人在态度和行为上所表现出来的心理特征。 ,1,226_1
226,某一事物或现象的本质。,2,226_2
227,用行动来实现理论、纲领、政策、计划等。 ,1,227_1
227,按照计算机的命令行动。,2,227_2
228,快慢的程度。,1,228_1
229,勉力；尽力。 ,1,229_1
229,尽力。,2,229_2
230,对未来事物的合理地设想或希望。 ,1,230_1
230,如所希望的；使人满意的。,2,230_2
231,时机。,1,231_1
232,起程到别处去。 ,1,232_1
232,比喻考虑或处理问题，从哪方面着眼或着手。,2,232_2
233,不会产生移动，通过光合作用生存的生物。,1,233_1
234,食品，豆浆煮开后加入石膏或盐卤使凝结成块，压去一部分水分而成。,1,234_1
235,把听见的话或看见的事用文字写下来；或者写下来的文章。 ,1,235_1
235,在一定时期、一定范围以内记载下来的最高成绩。,2,235_2
236,周密完备。 ,1,236_1
236,详细的内容、事项。,2,236_2
237,政治上的统治权力。行政机关。,1,237_1
238,风光景色。 ,1,238_1
238,某种情景或样子。,2,238_2
239,告诉。对上级有所陈请或汇报时所作的口头的或书面的陈述。 ,1,239_1
239,演讲。,2,239_2
240,建造；建立。建筑物，如房屋、桥梁等。,1,240_1
241,分析裁定。 ,1,241_1
241,占卜。,2,241_2
242,不赞成；不同意。 ,1,242_1
242,两个事物的模样、位置、方向、顺序等相反。,2,242_2
243,本行业、本职的事务；专业工作。,1,243_1
244,自身，本身。 ,1,244_1
244,自觉地，自然地。,2,244_2
245,年轻未婚女子。,1,245_1
246,人们在社会实践中获得的认识和经验。,1,246_1
247,陆地，大地。 ,1,247_1
247,那个场所，那个地方。,2,247_2
248,护卫，使不受损害。,1,248_1
249,疾病的治疗。,1,249_1
250,确切信实。,1,250_1
251,进行某项工作或满足某种需要所需的成套建筑、器物等。,1,251_1
252,建筑物的根脚，如墙下之方土，柱下之石。 ,1,252_1
252,事物发展的根本或起点。,2,252_2
253,包括地球及其他一切天体的无限空间。,1,253_1
254,高于平地，海拔高于500米，顶面一般起伏不大。,1,254_1
255,要求大家共同遵守的办事规程或行动准则。,1,255_1
256,原有的。本来面目; 原先；先前。 ,1,256_1
256,表示本该如此。,2,256_2
257,身体呈现的样子。 ,1,257_1
257,对待事物的态度。,2,257_2
258,紧贴于某处，不移动。 ,1,258_1
258,不变动。,2,258_2
259,有共同目的、志趣的人所组成的集体。 ,1,259_1
259,一起行动的人。,2,259_2
260,把原材料、半成品等制成成品，或使达到规定的要求。 ,1,260_1
260,做使成品更完美的各种工作。,2,260_2
261,具有光泽而不透明，有延展性，容易导电、传热等性质的物质。,1,261_1
262,讲授，把知识技能传授给学生。 ,1,262_1
262,高等学校教师学衔或职务名称之一。,2,262_2
263,构成地球周围大气的气体。无色，无味，透明。 ,1,263_1
263,气氛。,2,263_2
264,外科医生用刀和其他医疗器械治疗某些疾病的方法，如切除病灶或修复身体上的缺损，以恢复或改善身体的功能。 ,1,264_1
264,比喻从根本上去解决问题。,2,264_2
265,在很短的时间里发生。,1,265_1
266,客观存在反映在人的意识中经过思维活动而产生的结果或形成的观点。也指某种思想体系。 ,1,266_1
266,念头；想法。 ,2,266_2
266,思量。,3,266_3
267,把中枢神经系统的兴奋传递给各个器官，或把各个器官的兴奋传递给中枢神经系统的组织，是由许多神经纤维构成的。 ,1,267_1
267,对于某些事情的想法、感受。 ,2,267_2
267,精神失常的状态。,3,267_3
268,男性的人。,1,268_1
269,原来没有的事出现了，产生。出现。,1,269_1
270,平面或物体表面的大小。,1,270_1
271,通过电、热或化学能源等控制机械运行的装置。 ,1,271_1
271,未达到一定目的而设立的组织或团体。 ,2,271_2
271,计谋；心机。,3,271_3
272,对事物产生影响; 对事物产生的影响、效果。,1,272_1
273,工作没有达到预定的目的。,1,273_1
274,工作或学习的成就、收获。,1,274_1
275,有关事物中最重要的；起决定作用的。 ,1,275_1
275,为主，大部分。,2,275_2
276,把内在的性质或能力表现出来。 ,1,276_1
276,阐发，把意思或道理充分表达出来。 ,2,276_2
276,宣扬；表彰。,3,276_3
277,孤立无所依傍。 ,1,277_1
277,国家、民族或政权不受外界统治支配而能完全自主地存在；不依靠他人而自立。 ,2,277_2
277,单独站立,3,277_3
278,物体跟外界接触的部分。 ,1,278_1
278,外在的现象或非本质的部分。,2,278_2
279,想了解某人或某事，重视。 ,1,279_1
279,留意，放在心上；重视和爱护。,2,279_2
280,里面的部分。 ,1,280_1
280,组织、团体里面。,2,280_2
281,因外界的刺激等发生变化。,1,281_1
282,物品的质量。 ,1,282_1
282,人的行为、作风所表现的思想、认识、品性等的本质。,2,282_2
283,制作，将原材料加工成器物。 ,1,283_1
283,人为地造成某种气氛或局面等（含贬义）。,2,283_2
284,数量、水平、情形等差不多，可相抵。 ,1,284_1
284,程度高。 ,2,284_2
284,差不多；相抵。 ,3,284_3
284,适宜；合适。,4,284_4
285,家用器具，指桌子、椅子、床、柜、沙发等。,1,285_1
286,对事情提出自己的见解； 或者提出的见解。,1,286_1
287,过去不远的时代。,1,287_1
288,以发展体力、增强体质为主要任务的教育，通过参加各项运动来实现；指体育运动。,1,288_1
289,有怀疑或不理解的问题。,1,289_1
290,学校里进行教学的房间。 ,1,290_1
290,学习培训的地方。 ,2,290_2
290,在大学里对一定的领域进行研究的团体。,3,290_3
291,个体的人或动物生理组织的整体。 ,1,291_1
291,身体的健康状态。,2,291_2
292,特别，不同一般。,1,292_1
293,把外界的某些物质吸到内部。 ,1,293_1
293,摄取有益成分；吸纳。,2,293_2
294,增加新建筑、新设施等。 ,1,294_1
294,创建新事业、新组织。,2,294_2
295,符合事实、道理或某种公认的标准。,1,295_1
296,用事实判明真伪。用已知是真的判断来确定另一判断真实性的思维过程。由论题、论据、论证组成。 ,1,296_1
296,证明身份或事实的文件。,2,296_2
297,图画、摄影里衬托主体事物的景象。舞台上或电影里的布景。 ,1,297_1
297,对人物、事件起作用的历史情况或现实环境。 ,2,297_2
297,靠山及支持者。,3,297_3
298,维系，保持。 ,1,298_1
298,维护；帮助。,2,298_2
299,放大范围。,1,299_1
300,高兴地迎接。 ,1,300_1
300,乐意接受；高兴地盼望。,2,300_2
301,通讯社、报刊、广播电台、电视台等采访新闻和写通讯报道的专职人员。也作为从事编辑、采访、评论工作的新闻工作者的统称。,1,301_1
302,大家共有的，彼此都具有的；一同，一起。,1,302_1
303,为了检验某种科学理论或假设而进行某种操作或从事某种活动。 ,1,303_1
303,尝试做。,2,303_2
304,认为重要而认真对待；看重。,1,304_1
305,把一件事物、一种现象、一个概念分成较简单的组成部分，找出这些部分的本质属性和彼此之间的关系。,1,305_1
306,戴在头上保暖、防雨、遮日光等或装饰的用品。 ,1,306_1
306,指罩或套在器物上面，形状与用途似帽子的东西。 ,2,306_2
306,所加的罪名或坏名义。,3,306_3
307,以保护和增进人类健康、预防和治疗疾病为研究内容的科学。,1,307_1
308,参加；参与。 ,1,308_1
308,加上，掺进去。,2,308_2
309,处理问题使有结果。 ,1,309_1
309,消灭（坏人）。,2,309_2
310,尽力寻找、探索。 ,1,310_1
310,向异性求爱。,2,310_2
311,（物体）能透过光线的。 ,1,311_1
311,不隐藏，外部人也可以了解事情的发展情况。,2,311_2
312,有一定的疆域、居民以及一整套政治、经济、军事、法律、思想、社会等的运行机制。在国际上享有独立的主权。,1,312_1
313,数量的大小。 ,1,313_1
313,或多或少。稍微。 ,2,313_2
313,问数量的疑问代词。,3,313_3
314,对所认为错误的思想、言论进行批驳否定，加以否定。评论是非。,1,314_1
315,身体表面包在肌肉外部的组织，人和高等动物的皮肤由表皮、真皮和皮下组织三层组成，有保护、感觉、分泌、排泄等作用。,1,315_1
316,出色，非常好。,1,316_1
317,有腿有靠背的坐具。 ,1,317_1
317,地位、地理。,2,317_2
318,以军事为目的而指定的计划，或将此计划付诸行动。 ,1,318_1
