word,meaning,order,numbering
27,学問、芸術、宗教などの精神活動及びこれに基づく生活様式。,2,27_2
28,何かをしたり作ったりする時、うまくできる能力。,1,28_1
29,色々な物事を可能にする重要な物事。 ,1,29_1
29,原則的に。基本的に。大部分。,2,29_2
30,言葉、文章、行為などが表す内容やメッセージ。 ,1,30_1
30,行為の価値や意義。,2,30_2
31,機械や設備などが、それ自体の内部の作用により動くこと。 ,1,31_1
31,あることが十分な考えや選択を経ずに、そのまますぐになされること。,2,31_2
32,文章や映像などに入っているもの。 ,1,32_1
32,容器、箱、包装などの中に入っている物。,2,32_2
33,他者の拘束を受けずに自身がしたいようにできる状態。,1,33_1
34,内容が少なかったり易しかったりして構造が単純であること。,1,34_1
35,物事や組織の真ん中。 ,1,35_1
35,様々な物事の中で最も重要なもの。 ,2,35_2
35,ある活動をするために作られた機構や場所。 ,3,35_3
35,確固とした主観や芯。,4,35_4
36,現在にとても近い過去の時。,1,36_1
37,集まり、行事などに入っていく。,1,37_1
38,夫婦になること。,1,38_1
39,平凡な普通の物事。 ,1,39_1
39,同じであること。,2,39_2
40,人間が集まって共同の政治体と規範の影響を受けつつ生活する場。 ,1,40_1
40,関心事や志向、仕事などが似た人々が集まって作った集団。,2,40_2
41,大勢の人がお金を積み立てておき、誰かに事故、災害などが起きた時そのお金を与え、損害を補償する制度、もしくは契約関係。 ,1,41_1
41,安全である。 ,2,41_2
41,保証する。,3,41_3
42,生徒や学生たちを教育する機関。,1,42_1
43,土地や天然資源を有用にすること。 ,1,43_1
43,新しい物、製品、技術などを作ること。 ,2,43_2
43,人間の能力を発達させること。,3,43_3
44,ある程度以上の年齢の人を尊重していう言葉。 ,1,44_1
44,生徒・学生を教える人。医者や政治家、教師など特定の職業を指す場合もある。 ,2,44_2
44,自分や他人の夫。,3,44_3
45,物事の高低、強弱などの程合い。 ,1,45_1
45,適当な数量、水準。 ,2,45_2
45,(数量表現の後に使って)ほど、ぐらい。,3,45_3
46,"人程度集まった。だいたい, ぐらい",1,46_1
47,あることについて議論したり技量を競ったりするために多くの人が参加する集まり。,1,47_1
48,ある対象について人の心に刻まれる感覚。,1,48_1
49,ある原因によって引き起こされたこと。 ,1,49_1
49,(用言の連体形の後について)そのことが原因や理由であることを表す。ため。,2,49_2
50,有ること。 ,1,50_1
50,有るもの。,2,50_2
51,いちばんはじめ。 ,1,51_1
51,いちばんはじめに。,2,51_2
52,必要な用具・付属品などを準備すること。また、その身仕度や機材。,1,52_1
53,金品・時間・体力などを使うこと。,1,53_1
54,意見や方法などを、適当なものとしてとり上げて用いること。 ,1,54_1
54,人を雇うこと。,2,54_2
55,ひとまとまりの物・事柄の全て。,1,55_1
56,空中を飛んで進むこと。,1,56_1
57,国と国に関係すること。,1,57_1
58,営利を目的とし、生産・販売・サービスなどの経済活動を継続的に行う組織体。,1,58_1
59,特定の学問や仕事にもっぱら従事すること。また、その学問や仕事。 ,1,59_1
59,ある範囲に限定されることを表す。 ,2,59_2
59,わざわざそのために、特別に。,3,59_3
60,真ん中。 ,1,60_1
60,物事の中心的な役目を果たすところや位置。,2,60_2
61,特別ではなく、ありふれていること。 ,1,61_1
61,一般に。たいてい。いつもは。,2,61_2
62,生活に必要なものを生産・分配・消費する活動と、その中で営まれる社会的つながり。 ,1,62_1
62,費用や手間のかからないこと。,2,62_2
63,現在の時代。,1,63_1
64,その時。そのころ。,1,64_1
65,現実のありさま。ありのままの様子。 ,1,65_1
65,具体的 ,2,65_2
65,本当に。 ,3,65_3
65,実際的、現実的,4,65_4
66,学校や塾などで学問、技芸などを学ぶ人。,1,66_1
67,預金を預かり、その金で貸し出し、手形取引などをする機関。 ,1,67_1
67,使うべき時に使えるように、必要なものを集めて保管しておく組織。,2,67_2
68,一時的によその土地へ行くこと。,1,68_1
69,何かを基準にして数量、大小、地位などがそれと同等かもしくはそれより小さい・低いこと。 ,1,69_1
69,文章で、ある部分より後の部分。,2,69_2
70,わかりやすく、明らかになるよう話すこと。 ,1,70_1
70,証明する。実例が我々に何かを物語る/教えてくれる。,2,70_2
71,目・鼻・耳・舌・皮膚などにより、外からの刺激を感じること。また、その刺激により生じる意識。 ,1,71_1
71,物事を感じとる心のはたらき。センス。 ,2,71_2
71,感じる、～という感じがする、～と思う,3,71_3
72,何かを実際にしたことがあること。またはそこで得た知識や技能。,1,72_1
73,盛んに活動すること。目ざましい働きをすること。 ,1,73_1
73,活発だ。活気がある。またはそのようにする。,2,73_2
74,多数の者に代わって、それらの人々の意思を表すこと。 ,1,74_1
74,象徴する。,2,74_2
75,情報を伝達すること。,1,75_1
76,あるものを所有する人。持ち主。所有者。 ,1,76_1
76,家や店のあるじ。客を招いてもてなす人。 ,2,76_2
76,夫。,3,76_3
77,心が安らかでなんの不安や心配もないこと。,1,77_1
78,ある範囲の外側。また、他の語に付いて、それを除くほかのものやこと。,1,78_1
79,精神的なものを、表情・身振り・言語・文字・色・音・形などで表すこと。また、表されたもの。 ,1,79_1
79,わざわざ自信があることを表す。(誇張するニュアンス),2,79_2
80,自分のおかれた状況がはっきりわかる心の状態。 ,1,80_1
80,社会的、歴史的に起こることを認識できる力。 ,2,80_2
80,考えが及び、気を使う。,3,80_3
81,普通ではなく緊急の状態。 ,1,81_1
81,程度がはなはだしいさま。 ,2,81_2
81,とても。たいそう。特別に。,3,81_3
82,体を動かし行動する。 ,1,82_1
82,ある目的のためにする一連の行動。 ,2,82_2
82,活発に動いたり作用すること。 ,3,82_3
82,固定されていない。ガタつく。 ,4,82_4
82,流動的である。融通がきく。,5,82_5
83,健康のために体を動かし鍛錬すること。 ,1,83_1
83,ある目的のために組織的に活動すること。 ,2,83_2
83,物体の位置が変わること。,3,83_3
84,社会の出来事を速報・解説・批判などして、広く知らせるための定期刊行物。 ,1,84_1
84,ニュース。,2,84_2
85,ある行為をしたり、ある結論に至ったりしたわけ、根拠。,1,85_1
86,ある目的に向かって教え導くこと。,1,86_1
87,理想や計画などを現実のものとすること。また、現実になること。,1,87_1
88,夫婦・親子など、一つの家で共に生活する人々の集まり。また、その場所。,1,88_1
89,物事の性質や状態などが変わること。,1,89_1
90,物体のある場所。 ,1,90_1
90,人の地位。立場。,2,90_2
91,共通の性質を持つ物ごとに分けたまとまり。,1,91_1
92,欠点や不足が何もないこと。条件が全てそろっていること。 ,1,92_1
92,（“完全に”の形で）条件が全てそろっていること。,2,92_2
93,研究、調査、判断、制作などの基礎となるもの。,1,93_1
94,同じ時。 ,1,94_1
94,二つの事実が両方ともそうであることを表すため、二つの言葉の間に使う言葉。,2,94_2
95,社会や集団を構成する一人一人の人間。また、職業・組織などを離れた私人。一個人。 ,1,95_1
95,個人的には。自称。私。(公式的な場で意見を述べる時に使う),2,95_2
96,ある共同体の代表者が、その構成員の意思をまとめてその共同体を運営すること。,1,96_1
97,全てができあがること。また、完全に仕上げること。,1,97_1
98,建築・工事のときや機械など物を作るときに、構造や製作の計画を図面に表すこと。 ,1,98_1
98,計画を立てること。,2,98_2
99,外部にはっきりと表し示すこと。 ,1,99_1
99,図や表にして示すこと。,2,99_2
100,美を表現しようとする創作活動。また、その作品。文学・絵画・彫刻・舞踊など。 ,1,100_1
100,技術。 ,2,100_2
100,芸術的だ。美しい。,3,100_3
101,出版物、貨幣、証券、証明書などを作って、広く世の中で通用するようにすること。,1,101_1
102,物事をはっきり決めること。決まること。また、決まった事柄。 ,1,102_1
102,あるものが別の何かがどうなるかについて大きく影響を与えること。,2,102_2
103,物事の中心となる非常に大切なこと。,1,103_1
104,物の値段を決めること。事物や人物の価値を善悪や優劣などを考慮、判断して定めること。,1,104_1
105,よいことと悪いこと。正しいことと間違っていること。 ,1,105_1
105,是か非かを言い争うこと。 ,2,105_2
105,必ず。きっと。なにとぞ。どうぞ。是が非でも。是非とも。,3,105_3
106,物事の一定のやり方・形式・手続き。,1,106_1
107,広く世に名が知られていること。,1,107_1
108,商品とするためにつくった品物。ある原料を加工してつくった品物。,1,108_1
109,ことの前後の事情や道理を考慮すれば、そうあってしかるべきだ。当たり前だ。 ,1,109_1
109,当たり前なさま。もっともであること。,2,109_2
110,達成しようと目指すもの。目指すところ。,1,110_1
111,物をつくり出すもとになる物。,1,111_1
112,物事を行う時。おり。ころ。また、それを行う期間や季節。,1,112_1
113,心にとめること。気を配って集中すること。 ,1,113_1
113,警告や訓戒の意味で相手に気をつけるように言うこと。,2,113_2
114,ある民族や社会集団の中で、昔から受け伝えてきた風習や様式、考え方など。 ,1,114_1
114,共同体内で昔から伝わってきた。,2,114_2
115,ある基準となる時よりも前。 ,1,115_1
115,現在より前。そう遠くない過去。昔。,2,115_2
116,一定の結果を得るために一定の手続きに従って整理したり仕上げたりする。,1,116_1
117,ある特定のことをなしうる力やはたらき。,1,117_1
118,向き。進んで行く向き。 ,1,118_1
118,進む目当てや目標。,2,118_2
119,乗り物を利用して人が移動したり荷物を運んだりすること。 ,1,119_1
119,人や国の間で関係を結んで往来し交流すること。 ,2,119_2
119,結託。内通。,3,119_3
120,書籍や新聞などを読む人。読み手。,1,120_1
121,ゆたかに富んでいること。物がたっぷりあること。種類・数量が多いこと。,1,121_1
122,一年を天候の推移によって分けたもの。春夏秋冬の四季や、雨季・乾季など。シーズン。,1,122_1
123,西暦で、100年ごとに区切った年代。 ,1,123_1
123,「世紀の…」の形で、100年に一度しか起こらないほど。 ,2,123_2
123,時代。,3,123_3
124,いくつかの要素が集まって、一つのものを組み立てること。また、組み立てたもの。,1,124_1
125,物事が起こるもと。また、その事柄。,1,125_1
126,店で販売する食べ物やその材料。,1,126_1
127,間に何もなく、じかに接すること。じかにかかわること。ストレート。,1,127_1
128,ある集団の個体ごとの観測値を全て足した後、その合計を個体数で割った値。 ,1,128_1
128,複数の物事の質や量などを統一的にならす。 ,2,128_2
128,つりあいがとれていること。バランス。,3,128_3
129,美を表現する芸術。特に視覚的、空間的な美を表す造形芸術。絵画、彫刻、建築、工芸、書、写真など。,1,129_1
130,社会で生活するための学問や知識を教え育てること。,1,130_1
131,社会的な規模の大きい仕事。 ,1,131_1
131,生産・利益を目的とする経済活動。,2,131_2
132,本当のこと。 ,1,132_1
132,実は。実を言うと。(相手の知らない事実を知らせる時に使う),2,132_2
133,言葉を表す記号。字。 ,1,133_1
133,文章や語句。また、読み書きや学問。,2,133_2
134,世間が話題にするような出来事。問題となる出来事。,1,134_1
135,金銭や物品などを正当に要求すること。,1,135_1
136,はたらきかける目標。相手。 ,1,136_1
136,恋愛の相手。,2,136_2
137,はなはだしい変動もなく落ち着いていること。 ,1,137_1
137,薬の一種。安定剤。鎮静剤。,2,137_2
138,危なくないこと。危害が加わるおそれのないこと。無事なこと。,1,138_1
139,処理や保守・運営を行うこと。全体に気を配り、とりしきること。,1,139_1
140,その時よりこのかた。それより引き続き。,1,140_1
141,適当なものを選び取ること。,1,141_1
142,生まれること。出生。 ,1,142_1
142,物事が新しくできあがること。,2,142_2
143,ある目的で定められた一定の区域。 ,1,143_1
143,一国の中で特殊な事情があって区別される地域。,2,143_2
144,人々に指図すること。 ,1,144_1
144,音楽で楽団員に指図して演奏全体をまとめること。 ,2,144_2
144,指揮者。指揮する人。,3,144_3
145,女性。 ,1,145_1
145,女児。娘。,2,145_2
146,ある特定の地域。 ,1,146_1
146,首都や大都市以外の地域。いなか。 ,2,146_2
146,場所。 ,3,146_3
146,部分。点。,4,146_4
147,ひろげること、ひろがること。 ,1,147_1
147,あることがくりひろげられたり、進展したりすること。またそのようにさせること。,2,147_2
148,ためになること。役に立つこと。 ,1,148_1
148,効力のあること。,2,148_2
149,まじりあって一つのものを構成しているそれぞれの物質。構成要素。 ,1,149_1
149,思想的な性向、職業、出身などによって人々を分けた分類。,2,149_2
150,機械や組織の全体を形づくっている各部分の仕組み。組み立て。 ,1,150_1
150,有形、無形の構造物を作る、建てる。,2,150_2
151,物事が思いどおりに行くこと。目的を達成すること。 ,1,151_1
151,富・財産や社会的地位を得ること。,2,151_2
152,人間の心。また、知的な心のはたらき。 ,1,152_1
152,物事を支えている根本的な意義、理念。 ,2,152_2
152,物事を感じ、考え、判断する能力。意識。 ,3,152_3
152,気力。元気。精力。 ,4,152_4
152,活気に満ちる。元気旺盛だ。 ,5,152_5
152,ハンサムだ。 ,6,152_6
152,元気を出す。,7,152_7
153,計画などを実際に行うこと。,1,153_1
154,脚本に基づき、俳優の演技や舞台装置・効果などを指導し、映画や演劇などをつくること。大会や行事などを効果的に進行させること。内容や進行に工夫を加え全体をまとめあげること。 ,1,154_1
154,ある状況や雰囲気を作り出すこと。 ,2,154_2
154,公演。,3,154_3
155,自然現象の推移や変化を観察・測定すること。 ,1,155_1
155,事柄の成り行きを推測すること。,2,155_2
156,人間が自然にある物に加工を施し、生活に必要な物をつくりだすこと。また、その活動。 ,1,156_1
156,子供を産むこと。(古風な表現),2,156_2
157,物事の道理を知ること。また、意味や内容を悟ること。,1,157_1
158,著作物を主に印刷などの方法で書籍、雑誌などにし、販売、頒布すること。デジタルデータによるものも含まれることがある。,1,158_1
159,物事の調子を正しくととのえること。適切な状態にととのえること。,1,159_1
160,互いに取りかえること。やり取りすること。 ,1,160_1
160,以前のものを新しいものに取りかえること。 ,2,160_2
160,電話交換員,3,160_3
161,空間的な前と後。 ,1,161_1
161,時間的な前と後。時間的に連続すること。 ,2,161_2
161,時間、数量などがある基準点に若干足りなかったり超えたりすること。 ,3,161_3
161,物事の順序が逆になること。後先になること。 ,4,161_4
161,最初から最後まで。全期間まるごと。,5,161_5
162,年の若い者。一般に7、8歳から16、17歳ぐらいの世代を指す。男女ともをいうが、一般的に男子を指すことが多い。,1,162_1
163,何かをするときに必要な金銭。,1,163_1
164,ふだん。常日頃。,1,164_1
165,仕事。また、仕事をすること。特に、一定の目的と計画のもとに、身体または知能を使ってする仕事。 ,1,165_1
165,宿題。課題。,2,165_2
166,ある一点や一か所に寄り集めること。また、集まること。 ,1,166_1
166,一つのことに全ての力を注ぐこと。,2,166_2
167,文学の形式の一つ。作者が想像力・構想力を用いて人間や社会のすがたを表現する散文体の作品。,1,167_1
168,全て。全体。,1,168_1
169,事実としていま、現にある事物。また、具体的・客観的に存在する状態。 ,1,169_1
169,現実的である。リアリティがある。,2,169_2
170,その人、またはその物だけの特有の性質。パーソナリティ。,1,170_1
171,二つ以上のものを照らし合わせて、その優劣や異同をくらべること。 ,1,171_1
171,(‘比較的’の形で）他のものと比べて。,2,171_2
172,感情や情緒を、顔つきや態度に表すこと。 ,1,172_1
172,気分、感情を表に出す。,2,172_2
173,組織を整えて目的達成のために物事を行うこと。特に、営利事業を営むこと。また、その仕組み。 ,1,173_1
173,目的や方針を定めて組織を運営していくこと。 ,2,173_2
173,扱う、販売する。,3,173_3
174,多くの商品を売り買いする一定の場所。 ,1,174_1
174,商品が流通する領域。 ,2,174_2
174,受け入れられる余地。,3,174_3
175,生計を立てるための仕事。なりわい。 ,1,175_1
175,職業的な。プロ。職業としての。,2,175_2
176,心配であること。気にかかること。安心できないこと。 ,1,176_1
176,心苦しい。すまない。,2,176_2
177,自分の国ではない、よその国。他国。,1,177_1
178,いろいろな種類。さまざま。諸種。,1,178_1
179,これから先。前途。 ,1,179_1
179,遠方から持ってくること。また、ある状態をもたらすこと。,2,179_2
180,武力で争うこと。特に、国家間の武力によるいくさ。 ,1,180_1
180,社会生活上の激しい混乱や競争のたとえ。,2,180_2
181,人間や動物などが育って成熟すること。 ,1,181_1
181,物事が発展し、規模が大きくなること。,2,181_2
182,人々のいこいのために作られた庭園風の広い場所。,1,182_1
183,病気やけがをなおすため、手当てをすること。,1,183_1
184,自分の価値や能力や正しさなどを信じて疑わないこと。 ,1,184_1
184,自らを信じること。自信を持つこと。,2,184_2
185,期待しただけの数量や水準に達して、望みが満ち足りること。 ,1,185_1
185,満たすこと。,2,185_2
186,ある方向に傾くこと。かたよること。また、一方向に向かうこと。 ,1,186_1
186,傾倒する。考えが傾く。～する傾向がある。,2,186_2
187,詩歌・小説・戯曲・絵画などを創作する人。特に、小説家・劇作家。,1,187_1
188,素粒子の一つで、原子を構成する非常に小さい粒子。電荷は負。エレクトロン。 ,1,188_1
188,電子、電子工学、電子工業、電子装置などに関する。,2,188_2
189,過ぎ去った時。現在より前。またはその時の出来事。 ,1,189_1
189,時間が過ぎる。 ,2,189_2
189,出発点からある地点を過ぎて違う地点に行く。,3,189_3
190,空いていて何もない所。スペース。,1,190_1
191,命。 ,1,191_1
191,物事を成り立たせ、価値を支えるうえで最も重要なもの。 ,2,191_2
191,物事が維持される一定の期間。,3,191_3
192,人や車が通るために整備したみち。みち。,1,192_1
193,ある物事や問題、話題に対して持っている考え。 ,1,193_1
193,不満。 ,2,193_2
193,意見を述べること。特に、立場をわきまえずに物申したり、相手の事に口を挟むこと。,3,193_3
194,経験したことや覚えたことを忘れずにいること。また、その内容。ものおぼえ。 ,1,194_1
194,過去に経験したことに対する印象。,2,194_2
195,機械などを動かすこと。 ,1,195_1
195,自分の都合に合わせてうまく処理すること。,2,195_2
196,書物を販売する店。 ,1,196_1
196,書物を出版する店、会社。,2,196_2
197,数量をはかり数えること。 ,1,197_1
197,結果や展開などを予測し、それを見越して計画を立てること。 ,2,197_2
197,代金を払う。 ,3,197_3
197,人を陥れること。,4,197_4
143,太陽系の第三惑星。人類を始めとする多様な生物が生息している。,1,143_1
199,役目また義務としてしなければならない務め。 ,1,199_1
199,結果について、負わなければならない責め。,2,199_2
200,そこまでなしとげようとして設けた到達点。目印。 ,1,200_1
200,射撃や攻撃などの対象。まと。,2,200_2
201,ひだりと、みぎ。 ,1,201_1
201,そば。また、そば近くに仕える者。 ,2,201_2
201,影響を与え、支配すること。 ,3,201_3
201,意見や態度をはっきりさせないこと。 ,4,201_4
201,ほど。程度。,5,201_5
202,国家を統治する機関。日本では、内閣と、内閣が統轄する全行政機関。,1,202_1
203,二種以上のものを組み合わせること。取り合わせ。 ,1,203_1
203,協同、協力、共助、共同の行動。 ,2,203_2
203,よく合う。似合う。調和をなす。,3,203_3
204,意志、目的を持って、実際に体を動かして何かをすること。行い。 ,1,204_1
204,動く。出歩く。,2,204_2
205,その国に所属し、その国を構成する人々。その国の国籍を有する人々。,1,205_1
206,小説・詩歌・戯曲・随筆・評論などを研究する学問。 ,1,206_1
206,文芸学・哲学・歴史学・言語学・社会学などの総称。,2,206_2
207,物事に心を強く動かされること。,1,207_1
208,肉、魚や野菜などが新しくいきいきとしていること。 ,1,208_1
208,汚れていなくて、すがすがしいこと。 ,2,208_2
208,今までにない新しい感覚があること。,3,208_3
209,地面の下。 ,1,209_1
209,死後の世界。冥めい土ど。 ,2,209_2
209,非合法な活動が行われる場。秘密の場所。 ,3,209_3
209,地面の上。地面の表面。,4,209_4
210,外から見た形。外形。 ,1,210_1
210,定まった型。また、一定の手続きややり方。,2,210_2
211,利用や見聞ができるように、一般の人々に開放すること。,1,211_1
212,突然起きる悪い出来事。思いがけなく起こる災い。,1,212_1
213,自ら進んで物事を行うこと。,1,213_1
214,機械・道具などを作ること。,1,214_1
215,人の手が加わらない、自然のままの状態。 ,1,215_1
215,生まれつき。天性。 ,2,215_2
215,何でもないように知らんぷりをする姿。,3,215_3
216,動いて位置を変えること。移し動かすこと。,1,216_1
217,生物を大きく二分類したとき、植物に対する一群。多くは、自由に運動でき、感覚の働きがあり、他の生物を摂取して生命活動を行う生物。,1,217_1
218,足りないこと。欠けていること。不十分。 ,1,218_1
218,欠陥。不足した部分。,2,218_2
219,対象を体系的に研究し、その原理・法則を見つけだそうとする学問。特に、自然現象を対象とする学問。 ,1,219_1
219,“( 科学的”の形で)科学の原則に符合する。科学の正確を帯びる。,2,219_2
220,太陽系の中心をなす恒星。日。日輪。 ,1,220_1
220,明るく輝き、希望を与えてくれるもの。,2,220_2
221,燃やして熱・光・動力などを得る材料。薪・石炭・石油・ガスなど。,1,221_1
222,よい手段や方法を考えること。また、その手段や方法。 ,1,222_1
222,勉強 ,2,222_2
222,ある仕事をするのに必要な努力と時間。 ,3,222_3
222,時間。ひま。,4,222_4
223,数を表すのに使われる文字や記号。 ,1,223_1
223,統計・成績・計算など、数字によって表される事柄。 ,2,223_2
223,デジタルの。,3,223_3
224,原料や半製品を加工し、人間の生活に必要な物をつくる産業。,1,224_1
225,他の物事や考えなどをあれこれと比べ、自分の考えをまとめる手掛かりとすること。また、その材料。,1,225_1
226,ものの感じ方や考え方、言動や行動などに表れる、もって生まれたその人特有の性質。 ,1,226_1
226,物事にそなわった特有の傾向。,2,226_2
227,実際に行うこと。 ,1,227_1
227,コンピュータの命令に従って行うこと。,2,227_2
228,物事の進むはやさ。スピード。,1,228_1
229,力を尽くして行うこと。精を出すこと。 ,1,229_1
229,熱心だ。熱心に。,2,229_2
230,考えうる限り最もよい完全なもの。これ以上ないすばらしいものとして思い描き、追い求めるもの。 ,1,230_1
230,(“理想的”の形で)考えうる限りもっともよい完全な状態。,2,230_2
231,物事をするのにちょうどよい時。しおどき。チャンス。,1,231_1
232,目的の場所に向かって出かけること。 ,1,232_1
232,新たに物事を始めること。また物事の始まり。,2,232_2
233,生物を大きく二分類したとき、動物に対する一群。一般に移動せず細胞壁を持ち、光合成などにより無機物から養分を得て生長する生物。,1,233_1
234,大豆を加工した食品。水に浸した大豆をすりつぶして煮た汁をしぼり、かすを取り去ったものににがりを加え、固めたもの。,1,234_1
235,事実を残すために文章・映像としてとどめておくこと。また、そのもの。 ,1,235_1
235,競技などの成績。特に、その最高のもの。レコード。,2,235_2
236,くわしく細かいこと。 ,1,236_1
236,詳細な内容、事項。,2,236_2
237,国の政治を行う権力。政府。,1,237_1
238,目に見える自然の様子。眺め。 ,1,238_1
238,その場の状態や様子。,2,238_2
239,告げ知らせること。また、その知らせ。与えられた任務などの経過や結果について述べ伝えること。また、その内容。 ,1,239_1
239,講演。(論文)発表。,2,239_2
240,建物などを建てること。また、その建てた物。,1,240_1
241,物事の是非や善悪などを考え、決めること。 ,1,241_1
241,占い,2,241_2
242,意見や提案などに逆らうこと。 ,1,242_1
242,まるで逆であること。対する位置や方向にあること。あべこべ。,2,242_2
243,職業として日常行っている仕事。,1,243_1
244,自分自身。おのれ。また、自我。 ,1,244_1
244,自ら。自然に。,2,244_2
245,年若い女子。特に、十代までを指す。,1,245_1
246,物事について知っている事柄。また、その内容。,1,246_1
247,陸地。大地。地。 ,1,247_1
247,その場所。その地方。,2,247_2
248,安全を保つように守ること。かばうこと。,1,248_1
249,医術により病気や傷を治療すること。,1,249_1
250,確かでまちがいのないこと。しっかり信用できること。,1,250_1
251,必要な器材・道具・機械・建物などを備えつけること。また、備えつけられたもの。,1,251_1
252,建築物の土台。いしずえ。 ,1,252_1
252,物事の成立するもととなるもの。,2,252_2
253,全ての天体とそれをおおう全空間。また、地球の大気圏外。,1,253_1
254,海抜の高い山地にある広い平たんな野原。起伏のゆるやかな台状の地形。,1,254_1
255,国家や団体などを運営していくための規則。,1,255_1
256,もともと。元来。 ,1,256_1
256,当然そうあるべきこと。当たり前。,2,256_2
257,からだの構え。格好。 ,1,257_1
257,物事に対する態度。心の持ち方。,2,257_2
258,ひとところに定まって動かないこと。また、動かないようにすること。 ,1,258_1
258,変化しないこと。,2,258_2
259,共通の目的を持って集まった人々の集団。各種の法人・政党・組合・クラブなど。 ,1,259_1
259,人々の集まり。仲間。,2,259_2
260,原料・材料や他の製品に手を加え、新しい製品を作ること。 ,1,260_1
260,手を加える。整える。より良くするために追加処理をする。,2,260_2
261,光沢を持ち、電気や熱をよく伝え、展性（たたくとのびる性質）や延性（ひっぱるとのびる性質）に富む物質の総称。金・銀・銅・鉄など。,1,261_1
262,学問や技術を教えさずけること。 ,1,262_1
262,大学や高等専門学校で、専門分野の学問を教えたり研究したりする人。また、その職名。,2,262_2
263,地球を包む大気圏の下層部分を構成する無色透明な混合気体。 ,1,263_1
263,その場の状態や雰囲気。,2,263_2
264,医師が治療のために患部の切開・切断や移植などの処置を施すこと。 ,1,264_1
264,物事の状況を根本的に改めること。,2,264_2
265,出来事が非常に短い時間内に出現するさま。,1,265_1
266,人生や社会などについてのまとまりのある見解。特に、社会や政治に対する考え方や見方。 ,1,266_1
266,考え。意思。意見。 ,2,266_2
266,考える。,3,266_3
267,動物の体にある繊維状の器官。体の機能を統率し、各部からの刺激を脳に伝える刺激伝達の経路。 ,1,267_1
